address,price,details,bedrooms,bathrooms,category,city
"1 Maison Parc Ct #303, Vaughan, ON L4J 9K1",505000.0,1 bd1 ba- Condo for sale,1.0,1.0,Condo,Vaughan
"2 Savona Pl, Vaughan, ON L6A 4H4",1499000.0,4 bds4 ba- House for sale,4.0,4.0,House,Vaughan
"2396 Major Mackenzie Dr W #207, Vaughan, ON L6A 4Y1",530000.0,1 bd1 ba- Condo for sale,1.0,1.0,Condo,Vaughan
"9245 Jane St #1003, Vaughan, ON L6A 0J9",524999.0,1 bd2 ba- Condo for sale,1.0,2.0,Condo,Vaughan
"49 Miranda Ct, Vaughan, ON L4J 7W5",1999000.0,4 bds5 ba- House for sale,4.0,5.0,House,Vaughan
"1 Maison Parc Ct #518, Vaughan, ON L4J 9K1",669900.0,2 bds2 ba- Condo for sale,2.0,2.0,Condo,Vaughan
"9245 Jane St UNIT 1206, Vaughan, ON L6A 0J9",1129000.0,2 bds3 ba- Condo for sale,2.0,3.0,Condo,Vaughan
"125 David Todd Ave, Vaughan, ON L4H 1R4",1099000.0,4 bds4 ba- House for sale,4.0,4.0,House,Vaughan
"159 Green Bush Cres, Vaughan, ON L4J 5L8",1418000.0,6 bds4 ba- House for sale,6.0,4.0,House,Vaughan
"46 Derrywood Dr, Vaughan, ON L4K 5H5",1214000.0,4 bds4 ba- House for sale,4.0,4.0,House,Vaughan
"271 Kincardine St, Vaughan, ON L4H 4H8",1285000.0,3 bds4 ba- House for sale,3.0,4.0,House,Vaughan
"91 Townsgate Dr #808, Vaughan, ON L4J 8E8",619999.0,2 bds2 ba- Condo for sale,2.0,2.0,Condo,Vaughan
"32 Kaia Ct, Vaughan, ON L6A 4T9",3398000.0,4 bds6 ba- House for sale,4.0,6.0,House,Vaughan
"93 Venice Gate Dr, Vaughan, ON L4H 0E8",1149000.0,3 bds4 ba- House for sale,3.0,4.0,House,Vaughan
"9 Sadot Ct, Vaughan, ON L4J 8A8",2088000.0,5 bds5 ba- House for sale,5.0,5.0,House,Vaughan
"33 Cherokee Dr, Vaughan, ON L6A 1X3",1599000.0,4 bds4 ba- House for sale,4.0,4.0,House,Vaughan
"333 Clark Ave W #401, Vaughan, ON L4J 7K4",799000.0,2 bds2 ba- Condo for sale,2.0,2.0,Condo,Vaughan
"39 Old Firehall Ln #18, Vaughan, ON L4L 8W3",898000.0,3 bds3 ba- Townhouse for sale,3.0,3.0,Townhouse,Vaughan
"138 District Ave, Vaughan, ON L6A 0Y3",2088000.0,4 bds6 ba- House for sale,4.0,6.0,House,Vaughan
"2 Hesperus Rd, Vaughan, ON L4J 0K3",1699000.0,4 bds6 ba- House for sale,4.0,6.0,House,Vaughan
"39 Monte Cristi St, Vaughan, ON L6A 3H8",1180000.0,3 bds5 ba- House for sale,3.0,5.0,House,Vaughan
"149 Hesperus Rd, Vaughan, ON L4J 0G9",1588000.0,4 bds4 ba- House for sale,4.0,4.0,House,Vaughan
"9235 Jane St #515, Vaughan, ON L6A 0J8",529000.0,"1 bd1 ba1,721 sqft- Condo for sale",1.0,1.0,Condo,Vaughan
"58 Hendel Dr, Vaughan, ON L4J 9H7",1800000.0,5 bds5 ba- House for sale,5.0,5.0,House,Vaughan
"18 Journal Ave, Vaughan, ON L6A 3H1",1099999.0,3 bds4 ba- House for sale,3.0,4.0,House,Vaughan
"35 Alex Black St, Vaughan, ON L6A 0V5",2099000.0,4 bds4 ba- House for sale,4.0,4.0,House,Vaughan
"55 Hollybush Dr, Vaughan, ON L6A 2H5",1099888.0,3 bds4 ba- House for sale,3.0,4.0,House,Vaughan
"9245 Jane St UNIT 312, Vaughan, ON L6A 0J9",549900.0,1 bd2 ba- Condo for sale,1.0,2.0,Condo,Vaughan
"29 Sanibel Cres, Vaughan, ON L4J 8G9",3175000.0,4 bds6 ba- House for sale,4.0,6.0,House,Vaughan
"36 Zafarullah Khan Cres, Vaughan, ON L6A 3A5",1299000.0,5 bds5 ba- House for sale,5.0,5.0,House,Vaughan
"158 Bachman Dr, Vaughan, ON L6A 3R7",1290888.0,3 bds4 ba- House for sale,3.0,4.0,House,Vaughan
"245 Ahmadiyya Ave, Vaughan, ON L6A 3A6",1290000.0,5 bds4 ba- House for sale,5.0,4.0,House,Vaughan
"2900 Highway 7 Rd #504, Vaughan, ON L4K 0G2",569900.0,1 bd2 ba- Condo for sale,1.0,2.0,Condo,Vaughan
"16 Ferretti St, Vaughan, ON L6A 0H6",1790000.0,4 bds5 ba- House for sale,4.0,5.0,House,Vaughan
"2900 Highway 7 Rd W #2506, Vaughan, ON L4K 0G3",784900.0,2 bds2 ba- Condo for sale,2.0,2.0,Condo,Vaughan
